Unique ID,Product Name,Model,Company,search,amazon_link
23,Engage,Engage,Lucid Hearing,EngageEngage,https://www.amazon.com/Engage-Rechargeable-Accessories-Compatible-Splashproof/dp/B08TX4Z3HH/ref=sr_1_6?crid=2MUQSLKHFTZJJ&dib=eyJ2IjoiMSJ9.3XSNOKildLYeYSoK972AWP6VSQlVLTKoiULQ5UEGhupbtkQVN1NjLe5gAnPcYRcrUksJ_pUA56UxOzXdeSCRQ4kW8xXVPrxgVIbQFEyG2XdqCuEDgJcTdfmb4gF0Bkf41x0sTT6Y9NJ3iKQX_QVizztbO8niSm6QbCm1VDeeffJx5og3dTAZ6jWCBE2TS_UMDHZApvn0aFwBTsmk9w_Q305v4_PaCIOGPpMnWHGgiP9MQBH1Lwo_8z_zN7t7gKhdTm5H7szqPdRc_FKpVJk4gG_6cnqCuhAiHkQp3jrOFZs.KY0_SFqOApeVF7BUU518D0477uCMmfIlFmaHj6W1gZA&dib_tag=se&keywords=lucid+fio+hearing+aid&qid=1719608177&sprefix=lucid+hearing+fio+%2Caps%2C85&sr=8-6
24,Enrich ,Enrich,Lucid Hearing,Enrich Enrich,https://www.amazon.com/Lucid-Hearing-Enrich-Aids-Pair/dp/B0BK297W6F/ref=sr_1_2?crid=2BSPROFCQQRNJ&dib=eyJ2IjoiMSJ9.zdUeseuzh60K-IXd0giOQT1f70PsNh7UfeYqGn4iFQtoW6FMFaUwLwJ8O-xtqujO9Z3tUoR8b9ognUgk4_yGluSvRlt-0hOnedr9H1Hmp8a5U5sg2rVP0skDuKqAzTUrZ2QqPnuPIyUJl3EBluYqfbdN03VKYdxtl-9TnMnlxyTr6pZOqjmhm1ytCANk9gJgq-eoV3OKHFU4ofeCrXv29N7KhSZbcEuzlV2yZyg9Pyyz5oAo_id7EooiiNPp9FDdKWcxKiaFUQ55ErYgg7QG_PnyfM1uic4mN2NUpCNGZKc.dfc57QQi02SziEt7l_HmX_iuKVNU92EUeoAZpKnYPDw&dib_tag=se&keywords=lucid+enrich&qid=1719618362&sprefix=lucid+enrich%2Caps%2C103&sr=8-2
25,Enrich Pro BTE,Enrich Pro BTE,Lucid Hearing,Enrich Pro BTEEnrich Pro BTE,https://www.amazon.com/Lucid-Hearing-Enrich-Aids-Behind/dp/B0BK2DXCZ1/ref=sr_1_8?crid=2MUQSLKHFTZJJ&dib=eyJ2IjoiMSJ9.3XSNOKildLYeYSoK972AWP6VSQlVLTKoiULQ5UEGhupbtkQVN1NjLe5gAnPcYRcrUksJ_pUA56UxOzXdeSCRQ4kW8xXVPrxgVIbQFEyG2XdqCuEDgJcTdfmb4gF0Bkf41x0sTT6Y9NJ3iKQX_QVizztbO8niSm6QbCm1VDeeffJx5og3dTAZ6jWCBE2TS_UMDHZApvn0aFwBTsmk9w_Q305v4_PaCIOGPpMnWHGgiP9MQBH1Lwo_8z_zN7t7gKhdTm5H7szqPdRc_FKpVJk4gG_6cnqCuhAiHkQp3jrOFZs.KY0_SFqOApeVF7BUU518D0477uCMmfIlFmaHj6W1gZA&dib_tag=se&keywords=lucid+fio+hearing+aid&qid=1719608177&sprefix=lucid+hearing+fio+%2Caps%2C85&sr=8-8
26,Tala,Tala,Lucid Hearing,TalaTala,https://www.amazon.com/Lucid-Hearing-Tala-Premium-Rechargeable/dp/B0CKJ712DR/ref=sr_1_5?crid=2L3CX8LZ95YGT&dib=eyJ2IjoiMSJ9.f7wc-8En6YIMMB5hVlvwvrlWeqiCv5uyCeHtdlIg7myB6QtMAw1xhpX-2IAxuGY9mCE7RgXC7vBo6CarWUn_1sVvR2PFkqlA10Sc0AElHI1LhWY34TvbfOHtaWLFwjrvrlRGKmhIqHoKnT2req4eNA.ZgRLWXVQHStodWJbB_jieeN16wnEfCzYwzGiDkg-zbo&dib_tag=se&keywords=lucid+tala+hearing&qid=1719618386&sprefix=lucid+tala+hearing%2Caps%2C85&sr=8-5
27,Enlite,Enlite,Lucid Hearing,EnliteEnlite,
28,HearGear,HearGear,Lucid,HearGearHearGear,n/a
29,Atom Series,Atom,Audien Hearing,Atom SeriesAtom,https://www.amazon.com/Audien-Rechargeable-Hearing-Amplifier-Invisible/dp/B09MBG14TH/ref=sr_1_1_sspa?crid=1SUL58K2F60N&dib=eyJ2IjoiMSJ9.1l4jg6VzaY_-wVJKm5_ycOKZ5YaPN14Bv4vq6vmtZBz2rcb8rGC6Y989JC5oHfT5FmyZaep4pXvgDqKowWatZA.LqByPY27NmfGhAoBg9jAEjXNgfnruVVriw0xCT3ikUY&dib_tag=se&keywords=audien+Atom+SeriesAtom&qid=1719618467&sprefix=audien+atom+seriesatom%2Caps%2C79&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
30,Atom Series,Atom Pro,Audien Hearing,Atom SeriesAtom Pro,https://www.amazon.com/Audien-Wireless-Rechargeable-Hearing-Invisible/dp/B0CJQ95BHX/ref=sr_1_2_sspa?crid=1SUL58K2F60N&dib=eyJ2IjoiMSJ9.1l4jg6VzaY_-wVJKm5_ycOKZ5YaPN14Bv4vq6vmtZBz2rcb8rGC6Y989JC5oHfT5FmyZaep4pXvgDqKowWatZA.LqByPY27NmfGhAoBg9jAEjXNgfnruVVriw0xCT3ikUY&dib_tag=se&keywords=audien+Atom+SeriesAtom&qid=1719618467&sprefix=audien+atom+seriesatom%2Caps%2C79&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
31,EV,EV1,Audien Hearing,EVEV1,n/a
32,EV,EV3,Audien Hearing,EVEV3,n/a
33,BTE Series,Audien BTE,Audien Hearing,BTE SeriesAudien BTE,https://www.amazon.com/Audien-Rechargeable-Hearing-Premium-Incredible/dp/B0C1KVRHDJ/ref=sr_1_1?crid=1KN11N9ESUGIC&dib=eyJ2IjoiMSJ9.DkjCQpLqS3-yENY-rrUXrNLd2PpHr7dbj10NMXxsSFbXOaYrcJPpIqUo7bha7AwngTzLpubc2s5YWw4MrNegGARTRZu6WjdOzqkQcplaacxbT8eRKSmIjtkkwRDELMmfArE9v_omSvPn0ETF4GjQ11LKkEZdF9nErM48I5VVSbRd-iv8LtqXJ_gT5X5A-stuFYdiH3ToLiDDqUu_OoKuVB-c3fQuxQTVTdSn4nByQnmzuXoOaYeVAkfaKQfEHmI9IP-YPOvhtZ3Vf3QDKUco7_ObJchKcD-4kdi2ijYMwrU.f6RQTy24aNzwMkMtadG4DF_Q5uUiEXzflavdRwYGvYA&dib_tag=se&keywords=bte+series+audien+bte&qid=1719618567&sprefix=bte+seriesaudien+bte%2Caps%2C96&sr=8-1
34, RSH05BG, RSH05BG,RCA Hearing Aids, RSH05BG RSH05BG,
35,RSH052, RSH052,RCA Hearing Aids,RSH052 RSH052,
36,Rechargeable Digital Hearing Aids , RSH20,RCA Hearing Aids,Rechargeable Digital Hearing Aids  RSH20,
37,RCA Hearing Aid Behind-the-Ear Micro Design with Charging Case,RSH062,RCA Hearing Aids,RCA Hearing Aid Behind-the-Ear Micro Design with Charging CaseRSH062,
38,RCA Hearing Aid In-Ear Canal Design with Charging Case,RSH30,RCA Hearing Aids,RCA Hearing Aid In-Ear Canal Design with Charging CaseRSH30,
39,RCA Behind-the-Ear Hearing Aids with Table-Top Charging Stand,RSH053,RCA Hearing Aids,RCA Behind-the-Ear Hearing Aids with Table-Top Charging StandRSH053,https://www.amazon.com/RCA-Rechargeable-Completely-Advanced-Amplification/dp/B0CG2PNX67/ref=sr_1_2?crid=9O2HUYDFYQCH&dib=eyJ2IjoiMSJ9.ooAP0qqBp9CQ9bScvWfCwMEAOGIJ74sIKsarjzs8aD03_EjY7SuIunXd6DEl6dyOvVSUG-WeHZB6imHUcNIdVQi6-GswdNe-VGJtD3hqAR0TnKpDkhUn4UtEDbGhqDxHx4QWkM70bIRGE8bTmfiAn-SvYO-g8sz7upNs25MTxUpC1Esmc2AZ5YdC19KbTtlJzjAGHOwCqYf6QKWGZr-DKkXYle3NE-2Em8qCjXuXxhz_LA7joCrtuIxPSpgRhUKxB-mwBUIolHkWbquLgUIlPoWz3GAmCOE7bsLtC3bh6is.Et9jICuJlh4mdJcYjsaTQT5cTYZHw1jafxhMT1yX2pg&dib_tag=se&keywords=RSH05BG+rca+hearing+aids&qid=1719618600&sprefix=rsh05bg+rca+hearing+aid%2Caps%2C57&sr=8-2
40,Stealth,Stealth Pro,Auditech Hearing Aids,StealthStealth Pro,n/a
41,Stealth,CIC Stealth,Auditech Hearing Aids,StealthCIC Stealth,n/a
42,Lightning RX,Lightning RX,Auditech Hearing Aids,Lightning RXLightning RX,n/a
43,BHA 100 Series,Braun Clear BHA 100,"Kaz, USA, Inc.",BHA 100 SeriesBraun Clear BHA 100,n/a
44,Olive SmartEar Plus,Olive SmartEar Plus,Olive Union,Olive SmartEar PlusOlive SmartEar Plus,
45,Olive Max,Olive Max,Olive Union,Olive MaxOlive Max,https://www.amazon.com/Olive-Max-Sport-Rechargeable-Lifestyles/dp/B0CZ631NLZ/ref=sr_1_5?crid=Q1FX2IOL1QIF&dib=eyJ2IjoiMSJ9.eQ7cY0GmVw-C8JgJde8xVbn2Dm1dIb-HdoVvIjOEM1KEsrUugmBvhZ1UQ4vp5_HD6Qz3DRwM_G6INCyvt4Av2bYYYM4xTIVkFi7sdi-S0dafob60TEOZkhe8Kl4O1UlAJ0Etw4xI2W8n_dQ9wA7roU0oDNFDq7CP6lFDIc7Qm5iI8IKcxkhhn_T9Cxiw6qX4mjuH0vBPSyyMuEN8-eLRRukgjjOx-WnribRdIPzN6thFpCtTklbGyV6qm1gmDtN1yFON_v3wevmnaXzc3pevNDXcCLcDYJSHM-QqsD__830.fbHNXXKIFykFH0ag8t3emGdIa41lLn0sRc3-l0etbQw&dib_tag=se&keywords=olive%2Bmax%2Bhearing%2Baid&qid=1719619083&sprefix=olive%2Bmax%2Bhearing%2Baid%2Caps%2C84&sr=8-5&th=1
46,Stream,Stream,Hearing Assist,StreamStream,n/a
47,EAZE 2.0,EAZE 2.0,Hearing Assist,EAZE 2.0EAZE 2.0,n/a
48,Control 2.0,Control 2.0,Hearing Assist,Control 2.0Control 2.0,n/a
49,Micro,Micro,Hearing Assist,MicroMicro,n/a
50,Connect,Connect,Hearing Assist,ConnectConnect,n/a
51,HA 302,HA 302,Hearing Assist,HA 302HA 302,n/a
52,HA802,HA802,Hearing Assist,HA802HA802,n/a
53,HA 900,HA 900,Hearing Assist,HA 900HA 900,n/a
54,Treo,Treo,iHear,TreoTreo,https://www.amazon.com/iHEAR-Hearing-Amplifier-Invisible-Suppresses/dp/B07F74CXXT/ref=sr_1_5?crid=1UBTL2EG4WHBA&dib=eyJ2IjoiMSJ9.ld7JSTafheyeWijJrf50Wnxet_PC7xxZddZ8jydBd0p6LBChMiLjU9UEM3DvoTwbHteTW5qPrmJNbyE_kdSG_pmVyAlBtFn-xSv9ysQUu5ylX-dBSiFJjNnfg8xSJMggzGwLNx05o8hASsJKxo_oPBBtTJeE5rz4l_VUtOtjcxcZ-by7MlI3W7o9SUKrpxbjarAHxcRR_F8znPZUNmSS8ukgjjOx-WnribRdIPzN6thLAZNLwZuW22Km7BfpCeqNtDOr82oAcetLm9k4fB9mUZvMsotRFxsKghEERMOVWa8.2g0hJL2noXw_O-AX1YunQpfPl6Zo0g8Kteau21U0ROs&dib_tag=se&keywords=ihear+treo+hearing+aid&qid=1719619240&sprefix=ihear+treo+hearing+aid%2Caps%2C73&sr=8-5
55,Matrix,Matrix,iHear,MatrixMatrix,n/a
56,Axis,Axis,iHear,AxisAxis,n/a
57,Linx,Linx,iHear,LinxLinx,n/a
58,Xplore,Xplore,iHear,XploreXplore,n/a
59,Aura,Aura,Audicus,AuraAura,n/a
60,Wave,Wave,Audicus,WaveWave,n/a
61,Wave,Wave,Audicus,WaveWave,n/a
62,Spirit 1,Spirit 1,Audicus,Spirit 1Spirit 1,n/a
63,Spirit 1,Spirit 1,Audicus,Spirit 1Spirit 1,n/a
64,Spirit 2,Spirit 2,Audicus,Spirit 2Spirit 2,n/a
65,Spirit 2,Spirit 2,Audicus,Spirit 2Spirit 2,n/a
66,Omni 1,Omni 1,Audicus,Omni 1Omni 1,n/a
67,Omni 1,Omni 1,Audicus,Omni 1Omni 1,n/a
68,Omni 2,Omni 2,Audicus,Omni 2Omni 2,n/a
69,Omni 2,Omni 2,Audicus,Omni 2Omni 2,n/a
70,Mini,Mini,Audicus,MiniMini,n/a
71,Oricle,Oricle,Oricle,OricleOricle,n/a
72,Primo,Primo R401,NewSound,PrimoPrimo R401,n/a
73,TWS Hearing Aids,PocoXA601,NewSound,TWS Hearing AidsPocoXA601,n/a
74,TWS Hearing Aids,PocoX808,NewSound,TWS Hearing AidsPocoX808,n/a
75,TWS Hearing Aids,PocoX403,NewSound,TWS Hearing AidsPocoX403,n/a
76,APP Control Hearing Aids,Poco ZA401,NewSound,APP Control Hearing AidsPoco ZA401,n/a
77,APP Control Hearing Aids,Forte MA201,NewSound,APP Control Hearing AidsForte MA201,n/a
78,BTE Hearing Aids,108,NewSound,BTE Hearing Aids108,n/a
79,BTE Hearing Aids,107,NewSound,BTE Hearing Aids107,n/a
80,BTE Hearing Aids,Primo DA801,NewSound,BTE Hearing AidsPrimo DA801,n/a
81,BTE Hearing Aids,Primo S201,NewSound,BTE Hearing AidsPrimo S201,n/a
82,ITE Hearing Aids,Poco Z101,NewSound,ITE Hearing AidsPoco Z101,n/a
83,ITE Hearing Aids,Poco ZA401,NewSound,ITE Hearing AidsPoco ZA401,n/a
84,ITE Hearing Aids,MU803,NewSound,ITE Hearing AidsMU803,n/a
85,ITE Hearing Aids,Poco M401,NewSound,ITE Hearing AidsPoco M401,n/a
86,Neckband Hearing Amplifier,BW51,NewSound,Neckband Hearing AmplifierBW51,n/a
87,Neckband Hearing Amplifier,BW52,NewSound,Neckband Hearing AmplifierBW52,n/a
