Unique ID,Product Name,Model,Company,search,best_buy_link
128,TX-1,TX-1 Mini Plus,Bossa Hearing Aids,TX-1TX-1 Mini Plus,n/a
129,ProTon,ProTon Plus+,Bossa Hearing Aids,ProTonProTon Plus+,n/a
130,ProTon,ProTon Max,Bossa Hearing Aids,ProTonProTon Max,n/a
131,BTE Rechargeable Hearing Aids,BTE Rechargeable Hearing Aids,The Hearing Co.,BTE Rechargeable Hearing AidsBTE Rechargeable Hearing Aids,n/a
132,Micro CIC Rechargeable Hearing Aids,Micro CIC Rechargeable Hearing Aids,The Hearing Co.,Micro CIC Rechargeable Hearing AidsMicro CIC Rechargeable Hearing Aids,n/a
133,Bluetooth ITE Rechargeable Hearing Aids,Bluetooth ITE Rechargeable Hearing Aids,The Hearing Co.,Bluetooth ITE Rechargeable Hearing AidsBluetooth ITE Rechargeable Hearing Aids,n/a
134,Micro BTE Digital Rechargeable Hearing Aids,Micro BTE Digital Rechargeable Hearing Aids,The Hearing Co.,Micro BTE Digital Rechargeable Hearing AidsMicro BTE Digital Rechargeable Hearing Aids,n/a
135,Micro CIC Rechargeable Hearing Aids v2,Micro CIC Rechargeable Hearing Aids v2,The Hearing Co.,Micro CIC Rechargeable Hearing Aids v2Micro CIC Rechargeable Hearing Aids v2,n/a
136,Micro CIC Battery Hearing Aids,Micro CIC Battery Hearing Aids,The Hearing Co.,Micro CIC Battery Hearing AidsMicro CIC Battery Hearing Aids,n/a
162,Micro CIC Digital Rechargeable Hearing Aids,Micro CIC Digital Rechargeable Hearing Aids,The Hearing Co.,Micro CIC Digital Rechargeable Hearing AidsMicro CIC Digital Rechargeable Hearing Aids,n/a
137,D09,D09 CIC Rechargeable,Vivtone,D09D09 CIC Rechargeable,n/a
138,Lucid508,Lucid508,Vivtone,Lucid508Lucid508,n/a
139,Lucid516,Lucid516,Vivtone,Lucid516Lucid516,n/a
140,Vivtone Pro20,Vivtone Pro20,Vivtone,Vivtone Pro20Vivtone Pro20,n/a
141,Vivtone RIC02,Vivtone RIC02,Vivtone,Vivtone RIC02Vivtone RIC02,n/a
142,Vivtone D08,Vivtone D08,Vivtone,Vivtone D08Vivtone D08,n/a
143,Vivtone D07,Vivtone D07,Vivtone,Vivtone D07Vivtone D07,n/a
144,Sensley S01,Sensley S01,Vivtone,Sensley S01Sensley S01,n/a
145,Lucid 30,Lucid 30,Vivtone,Lucid 30Lucid 30,n/a
146,Smart,Smart,Vivtone,SmartSmart,n/a
147,Xpure,Xpure,Vivtone,XpureXpure,n/a
148,Autiphon U01,Autiphon U01,Vivtone,Autiphon U01Autiphon U01,n/a
149,Autiphon U02,Autiphon U02,Vivtone,Autiphon U02Autiphon U02,n/a
150,Autiphon U03,Autiphon U03,Vivtone,Autiphon U03Autiphon U03,n/a
151,EarMate-4330,EarMate-4330,HearingHelp express,EarMate-4330EarMate-4330,n/a
152,Apollo 6205,Apollo 6205,HearingHelp express,Apollo 6205Apollo 6205,n/a
153,Ranger 6205,Ranger 6205,HearingHelp express,Ranger 6205Ranger 6205,n/a
154,AudixLife,AudixLife,"RxHearing Aids, Inc.",AudixLifeAudixLife,n/a
155,AudixMax,AudixMax,"RxHearing Aids, Inc.",AudixMaxAudixMax,n/a
156,Aria,Aria,"RxHearing Aids, Inc.",AriaAria,n/a
157,Invo,Invo,"RxHearing Aids, Inc.",InvoInvo,n/a
158,Start Hearing One,Start Hearing One,Starkey,Start Hearing OneStart Hearing One,n/a
163,AirPods,3rd Generation,Apple,AirPods3rd Generation,n/a
164,Receiver in Ear Canal Rechargeable Hearing Aid,RIE 400,EarCentric,Receiver in Ear Canal Rechargeable Hearing AidRIE 400,n/a
165,EarCentric EasyCharge Rechargeable Hearing Aid,EasyCharge Rechargeable,EarCentric,EarCentric EasyCharge Rechargeable Hearing AidEasyCharge Rechargeable,n/a
166,Disco Max Wireless Rechargeable,Disco Max ,EarCentric,Disco Max Wireless RechargeableDisco Max ,n/a
167,Rechargeable Hearing Aid - Disco,Disco,EarCentric,Rechargeable Hearing Aid - DiscoDisco,n/a
168,EarCentric Choice,Choice,EarCentric,EarCentric ChoiceChoice,n/a
169,Rechargeable/Programmable Hearing Aid with USB Programming Port - EasyCharge 2,RV4,EarCentric,Rechargeable/Programmable Hearing Aid with USB Programming Port - EasyCharge 2RV4,n/a
170,Comfort 2 Mini-BTE Hearing Aid Amplifier Sound Assist by EarCentric,Comfort 2 ,EarCentric,Comfort 2 Mini-BTE Hearing Aid Amplifier Sound Assist by EarCentricComfort 2 ,n/a
171,EarCentric Linkx Wireless Hearing Aid,Linkx,EarCentric,EarCentric Linkx Wireless Hearing AidLinkx,n/a
172,EarCentric Linkx Wireless Hearing Aid,Linkx,EarCentric,EarCentric Linkx Wireless Hearing AidLinkx,n/a
173,CLARI Hearing Aids,CLARI Hearing Aids,CLARI Hearing Aids,CLARI Hearing AidsCLARI Hearing Aids,n/a
174,NoviOne,NoviOne,Novidan,NoviOneNoviOne,n/a
175,NoviOne,NoviOne,Novidan,NoviOneNoviOne,n/a
176,Mach 1,Mach 1,Sonify Hearing,Mach 1Mach 1,n/a
177,Mach 1 Pro,Mach 1 Pro,Sonify Hearing,Mach 1 ProMach 1 Pro,n/a
178,Mach 1 Pro Wireless,Mach 1 Pro W,Sonify Hearing,Mach 1 Pro WirelessMach 1 Pro W,n/a
181,Tuned Lumen 155,Lumen 155,Intrisound,Tuned Lumen 155Lumen 155,
